2018-04-23 17:16:29 status half-installed adduser:all 3.113+nmu3
2018-04-23 17:16:30 status unpacked adduser:all 3.113+nmu3
2018-04-23 17:16:30 status unpacked adduser:all 3.113+nmu3
2018-04-23 17:16:30 install libattr1:arm64 <none> 1:2.4.47-2
2018-04-23 17:16:30 status half-installed libattr1:arm64 1:2.4.47-2
2018-04-23 17:16:30 status unpacked libattr1:arm64 1:2.4.47-2
2018-04-23 17:16:30 status unpacked libattr1:arm64 1:2.4.47-2
2018-04-23 17:16:30 install libaudit-common:all <none> 1:2.4-1
2018-04-23 17:16:30 status half-installed libaudit-common:all 1:2.4-1
2018-04-23 17:16:30 status unpacked libaudit-common:all 1:2.4-1
2018-04-23 17:16:30 status unpacked libaudit-common:all 1:2.4-1
2018-04-23 17:16:30 install libaudit1:arm64 <none> 1:2.4-1+b1
2018-04-23 17:16:30 status half-installed libaudit1:arm64 1:2.4-1+b1
2018-04-23 17:16:30 status unpacked libaudit1:arm64 1:2.4-1+b1
2018-04-23 17:16:30 status unpacked libaudit1:arm64 1:2.4-1+b1
2018-04-23 17:16:30 upgrade base-files:arm64 8+deb8u10 8+deb8u10
2018-04-23 17:16:30 status half-configured base-files:arm64 8+deb8u10
2018-04-23 17:16:30 status unpacked base-files:arm64 8+deb8u10
2018-04-23 17:16:30 status half-installed base-files:arm64 8+deb8u10
2018-04-23 17:16:30 status half-installed base-files:arm64 8+deb8u10
2018-04-23 17:16:30 status unpacked base-files:arm64 8+deb8u10
2018-04-23 17:16:30 status unpacked base-files:arm64 8+deb8u10
2018-04-23 17:16:30 upgrade base-passwd:arm64 3.5.37 3.5.37
2018-04-23 17:16:30 status half-configured base-passwd:arm64 3.5.37
2018-04-23 17:16:30 status unpacked base-passwd:arm64 3.5.37
2018-04-23 17:16:30 status half-installed base-passwd:arm64 3.5.37
2018-04-23 17:16:30 status half-installed base-passwd:arm64 3.5.37
2018-04-23 17:16:31 status unpacked base-passwd:arm64 3.5.37
2018-04-23 17:16:31 status unpacked base-passwd:arm64 3.5.37
2018-04-23 17:16:31 install bash:arm64 <none> 4.3-11+deb8u1
2018-04-23 17:16:31 status half-installed bash:arm64 4.3-11+deb8u1
2018-04-23 17:16:32 status unpacked bash:arm64 4.3-11+deb8u1
2018-04-23 17:16:32 status unpacked bash:arm64 4.3-11+deb8u1
2018-04-23 17:16:33 install libbz2-1.0:arm64 <none> 1.0.6-7+b3
2018-04-23 17:16:33 status half-installed libbz2-1.0:arm64 1.0.6-7+b3
2018-04-23 17:16:33 status unpacked libbz2-1.0:arm64 1.0.6-7+b3
2018-04-23 17:16:33 status unpacked libbz2-1.0:arm64 1.0.6-7+b3
2018-04-23 17:16:33 install libdebconfclient0:arm64 <none> 0.192
2018-04-23 17:16:33 status half-installed libdebconfclient0:arm64 0.192
2018-04-23 17:16:33 status unpacked libdebconfclient0:arm64 0.192
2018-04-23 17:16:33 status unpacked libdebconfclient0:arm64 0.192
2018-04-23 17:16:34 install coreutils:arm64 <none> 8.23-4
2018-04-23 17:16:34 status half-installed coreutils:arm64 8.23-4
2018-04-23 17:16:37 status unpacked coreutils:arm64 8.23-4
2018-04-23 17:16:37 status unpacked coreutils:arm64 8.23-4
2018-04-23 17:16:37 install libcryptsetup4:arm64 <none> 2:1.6.6-5
2018-04-23 17:16:37 status half-installed libcryptsetup4:arm64 2:1.6.6-5
2018-04-23 17:16:37 status unpacked libcryptsetup4:arm64 2:1.6.6-5
2018-04-23 17:16:37 status unpacked libcryptsetup4:arm64 2:1.6.6-5
2018-04-23 17:16:38 install dash:arm64 <none> 0.5.7-4+b3
2018-04-23 17:16:38 status half-installed dash:arm64 0.5.7-4+b3
2018-04-23 17:16:39 status unpacked dash:arm64 0.5.7-4+b3
2018-04-23 17:16:39 status unpacked dash:arm64 0.5.7-4+b3
2018-04-23 17:16:39 install libdb5.3:arm64 <none> 5.3.28-9+deb8u1
2018-04-23 17:16:39 status half-installed libdb5.3:arm64 5.3.28-9+deb8u1
2018-04-23 17:16:40 status unpacked libdb5.3:arm64 5.3.28-9+deb8u1
2018-04-23 17:16:40 status unpacked libdb5.3:arm64 5.3.28-9+deb8u1
2018-04-23 17:16:40 upgrade debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2018-04-23 17:16:40 status half-configured debconf:all 1.5.56+deb8u1
2018-04-23 17:16:41 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:41 status half-installed debconf:all 1.5.56+deb8u1
2018-04-23 17:16:42 status half-installed debconf:all 1.5.56+deb8u1
2018-04-23 17:16:42 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:42 status unpacked debconf:all 1.5.56+deb8u1
2018-04-23 17:16:43 install debconf-i18n:all <none> 1.5.56+deb8u1
2018-04-23 17:16:43 status half-installed debconf-i18n:all 1.5.56+deb8u1
2018-04-23 17:16:43 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-04-23 17:16:43 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-04-23 17:16:44 install debianutils:arm64 <none> 4.4+b3
2018-04-23 17:16:44 status half-installed debianutils:arm64 4.4+b3
2018-04-23 17:16:44 status unpacked debianutils:arm64 4.4+b3
2018-04-23 17:16:44 status unpacked debianutils:arm64 4.4+b3
2018-04-23 17:16:44 install diffutils:arm64 <none> 1:3.3-1+b3
2018-04-23 17:16:44 status half-installed diffutils:arm64 1:3.3-1+b3
2018-04-23 17:16:45 status unpacked diffutils:arm64 1:3.3-1+b3
2018-04-23 17:16:45 status unpacked diffutils:arm64 1:3.3-1+b3
2018-04-23 17:16:45 upgrade dpkg:arm64 1.17.27 1.17.27
2018-04-23 17:16:45 status half-configured dpkg:arm64 1.17.27
2018-04-23 17:16:46 status unpacked dpkg:arm64 1.17.27
2018-04-23 17:16:46 status half-installed dpkg:arm64 1.17.27
2018-04-23 17:16:47 status half-installed dpkg:arm64 1.17.27
2018-04-23 17:16:47 status unpacked dpkg:arm64 1.17.27
2018-04-23 17:16:47 status unpacked dpkg:arm64 1.17.27
2018-04-23 17:16:48 install e2fslibs:arm64 <none> 1.42.12-2+b1
2018-04-23 17:16:48 status half-installed e2fslibs:arm64 1.42.12-2+b1
2018-04-23 17:16:48 status unpacked e2fslibs:arm64 1.42.12-2+b1
2018-04-23 17:16:48 status unpacked e2fslibs:arm64 1.42.12-2+b1
2018-04-23 17:16:50 install e2fsprogs:arm64 <none> 1.42.12-2+b1
2018-04-23 17:16:50 status half-installed e2fsprogs:arm64 1.42.12-2+b1
2018-04-23 17:16:51 status unpacked e2fsprogs:arm64 1.42.12-2+b1
2018-04-23 17:16:51 status unpacked e2fsprogs:arm64 1.42.12-2+b1
2018-04-23 17:16:51 install libcomerr2:arm64 <none> 1.42.12-2+b1
2018-04-23 17:16:51 status half-installed libcomerr2:arm64 1.42.12-2+b1
2018-04-23 17:16:51 status unpacked libcomerr2:arm64 1.42.12-2+b1
2018-04-23 17:16:51 status unpacked libcomerr2:arm64 1.42.12-2+b1
2018-04-23 17:16:52 install libss2:arm64 <none> 1.42.12-2+b1
2018-04-23 17:16:52 status half-installed libss2:arm64 1.42.12-2+b1
2018-04-23 17:16:52 status unpacked libss2:arm64 1.42.12-2+b1
2018-04-23 17:16:52 status unpacked libss2:arm64 1.42.12-2+b1
2018-04-23 17:16:52 install findutils:arm64 <none> 4.4.2-9+b3
2018-04-23 17:16:52 status half-installed findutils:arm64 4.4.2-9+b3
2018-04-23 17:16:53 status unpacked findutils:arm64 4.4.2-9+b3
2018-04-23 17:16:53 status unpacked findutils:arm64 4.4.2-9+b3
2018-04-23 17:16:53 install gcc-4.8-base:arm64 <none> 4.8.4-1
2018-04-23 17:16:53 status half-installed gcc-4.8-base:arm64 4.8.4-1
2018-04-23 17:16:54 status unpacked gcc-4.8-base:arm64 4.8.4-1
2018-04-23 17:16:54 status unpacked gcc-4.8-base:arm64 4.8.4-1
2018-04-23 17:16:54 install gcc-4.9-base:arm64 <none> 4.9.2-10
2018-04-23 17:16:54 status half-installed gcc-4.9-base:arm64 4.9.2-10
2018-04-23 17:16:54 status unpacked gcc-4.9-base:arm64 4.9.2-10
2018-04-23 17:16:54 status unpacked gcc-4.9-base:arm64 4.9.2-10
2018-04-23 17:16:55 install libgcc1:arm64 <none> 1:4.9.2-10
2018-04-23 17:16:55 status half-installed libgcc1:arm64 1:4.9.2-10
2018-04-23 17:16:55 status unpacked libgcc1:arm64 1:4.9.2-10
2018-04-23 17:16:55 status unpacked libgcc1:arm64 1:4.9.2-10
2018-04-23 17:16:55 install libc-bin:arm64 <none> 2.19-18+deb8u10
2018-04-23 17:16:55 status half-installed libc-bin:arm64 2.19-18+deb8u10
2018-04-23 17:16:56 status unpacked libc-bin:arm64 2.19-18+deb8u10
2018-04-23 17:16:56 status unpacked libc-bin:arm64 2.19-18+deb8u10
2018-04-23 17:16:56 upgrade libc6:arm64 2.19-18+deb8u10 2.19-18+deb8u10
2018-04-23 17:16:56 status half-configured libc6:arm64 2.19-18+deb8u10
2018-04-23 17:16:56 status unpacked libc6:arm64 2.19-18+deb8u10
2018-04-23 17:16:56 status half-installed libc6:arm64 2.19-18+deb8u10
2018-04-23 17:17:02 status half-installed libc6:arm64 2.19-18+deb8u10
2018-04-23 17:17:02 status unpacked libc6:arm64 2.19-18+deb8u10
2018-04-23 17:17:02 status unpacked libc6:arm64 2.19-18+deb8u10
2018-04-23 17:17:03 install multiarch-support:arm64 <none> 2.19-18+deb8u10
2018-04-23 17:17:03 status half-installed multiarch-support:arm64 2.19-18+deb8u10
2018-04-23 17:17:03 status unpacked multiarch-support:arm64 2.19-18+deb8u10
2018-04-23 17:17:03 status unpacked multiarch-support:arm64 2.19-18+deb8u10
2018-04-23 17:17:03 install grep:arm64 <none> 2.20-4.1
2018-04-23 17:17:03 status half-installed grep:arm64 2.20-4.1
2018-04-23 17:17:04 status unpacked grep:arm64 2.20-4.1
2018-04-23 17:17:04 status unpacked grep:arm64 2.20-4.1
2018-04-23 17:17:04 install gzip:arm64 <none> 1.6-4
2018-04-23 17:17:04 status half-installed gzip:arm64 1.6-4
2018-04-23 17:17:05 status unpacked gzip:arm64 1.6-4
2018-04-23 17:17:05 status unpacked gzip:arm64 1.6-4
2018-04-23 17:17:05 install hostname:arm64 <none> 3.15+b2
2018-04-23 17:17:05 status half-installed hostname:arm64 3.15+b2
2018-04-23 17:17:05 status unpacked hostname:arm64 3.15+b2
2018-04-23 17:17:05 status unpacked hostname:arm64 3.15+b2
2018-04-23 17:17:05 install init:arm64 <none> 1.22
2018-04-23 17:17:05 status half-installed init:arm64 1.22
2018-04-23 17:17:05 status unpacked init:arm64 1.22
2018-04-23 17:17:05 status unpacked init:arm64 1.22
2018-04-23 17:17:06 install insserv:arm64 <none> 1.14.0-5+b2
2018-04-23 17:17:06 status half-installed insserv:arm64 1.14.0-5+b2
2018-04-23 17:17:06 status unpacked insserv:arm64 1.14.0-5+b2
2018-04-23 17:17:06 status unpacked insserv:arm64 1.14.0-5+b2
2018-04-23 17:17:06 install libkmod2:arm64 <none> 18-3
2018-04-23 17:17:06 status half-installed libkmod2:arm64 18-3
2018-04-23 17:17:06 status unpacked libkmod2:arm64 18-3
2018-04-23 17:17:06 status unpacked libkmod2:arm64 18-3
2018-04-23 17:17:07 install libcap2:arm64 <none> 1:2.24-8
2018-04-23 17:17:07 status half-installed libcap2:arm64 1:2.24-8
2018-04-23 17:17:07 status unpacked libcap2:arm64 1:2.24-8
2018-04-23 17:17:07 status unpacked libcap2:arm64 1:2.24-8
2018-04-23 17:17:07 install libcap2-bin:arm64 <none> 1:2.24-8
2018-04-23 17:17:07 status half-installed libcap2-bin:arm64 1:2.24-8
2018-04-23 17:17:07 status unpacked libcap2-bin:arm64 1:2.24-8
2018-04-23 17:17:07 status unpacked libcap2-bin:arm64 1:2.24-8
2018-04-23 17:17:08 install libgcrypt20:arm64 <none> 1.6.3-2+deb8u4
2018-04-23 17:17:08 status half-installed libgcrypt20:arm64 1.6.3-2+deb8u4
2018-04-23 17:17:08 status unpacked libgcrypt20:arm64 1.6.3-2+deb8u4
2018-04-23 17:17:08 status unpacked libgcrypt20:arm64 1.6.3-2+deb8u4
2018-04-23 17:17:09 install libgpg-error0:arm64 <none> 1.17-3
2018-04-23 17:17:09 status half-installed libgpg-error0:arm64 1.17-3
2018-04-23 17:17:09 status unpacked libgpg-error0:arm64 1.17-3
